original_index,sentence,sentiment,translation_en,translation_hi
12602,pray long healthi life modi ji modi 2024 teesri baar modi sarkaar nan,positive,"Wishing for a long and healthy life for Modi Ji, looking forward to Modi's government for the third time in 2024.","प्रार्थना करते हैं लंबी स्वस्थ जीवन मोदी जी, मोदी 2024 तीसरी बार मोदी सरकार में"
12606,icc india ko harao aur trophi le jao ❤️ taptanoff ati hai pal inji bai ne taha hai sale match thailn hain 😂😂😂…,negative,"icc beat india and take the trophy ❤️ i'm so angry right now, these damn matches are fixed 😂😂😂...",icc भारत को हराओ और ट्रॉफी ले जाओ ❤️ तप्तना ही अच्छा है पल भारतीय बहनें ठहरी हैं साल मैच थालिन हैं 😂😂😂...
12608,한국 댄스러시 팀 약자 ap away pepsi aim alchohol mine elpi eleg play one year ssr super super rare sc 제일은행 nan,neutral,Korean dance rush team abbreviation AP away Pepsi aim alcohol mine LP ELG play one year SSR super super rare SC Bank of Korea NaN,कोरियाई डांसर्स की टीम का संक्षिप्त नाम ap away pepsi aim alcohol mine elpi eleg play one year ssr super super rare sc सबसे बड़ा बैंक nan
12610,jo chai wala land cruiser se chalta hai level pe kyu laat ho rajneeti ko nan,negative,"The guy who drives the Land Cruiser with tea, why does he have to be so rude about politics?","जो चाय वाला लैंड क्रूज़र से चलता है, लेवल पे क्यू लाट हो राजनीति को नन"
12611,sahi h ab news dikhao bina debat k serial ka episod movi scene esk alawa kuch h hi nhi tum logo k pas godi media nan,negative,"Right, show some news without debates, just episodes of series or movie scenes, there's nothing else you guys have on your lame media network.",सही है अब न्यूज़ दिखाओ बिना डेबेट के सीरियल का एपिसोड मूवी सीन के सिवाय कुछ ही नहीं तुम लोगों के पास गोदी मीडिया है
12612,tum jio hajaro saal thank imrakhan full famili nan,positive,Thank you Imran Khan and his entire family for your support.,तुम जिओ हजारों साल थैंक इमरखान पूरी फ़ेमिली नेन
12614,urdu mai likht shayad jeet jaati yeh samajh hi nahi aaya hoga sarfaraz aur team ko,neutral,"in Urdu, maybe they would have written it, Sarfaraz and the team wouldn't have understood it at all",उर्दू में लिखते शायद जीत जाती यह समझ ही नहीं आया होगा सरफ़राज़ और टीम को
12616,rod yaha - ｓｕｎｓｅｔ sooth lo-fi track hope enjoy soundcloud np,positive,"check out this sunset-themed lo-fi track on SoundCloud, I hope you enjoy it",रोड़ यहाँ - संसेट सूथ लो-फ़ाइट्रैक होप इन्जॉय साउंडक्लाउड एनपी
12617,pk aurton ki aqal pe prda hy unhen apn elawa kch nzr nh ata nan,negative,"there's a veil on these women's intelligence, they can't see beyond themselves","पीके औरतों की अक़ल पर परदा है, उन्हें अपने सिवाय कुछ नज़र नहीं आता।"
12618,damn girl nail kuch logo ko ye bat samajh nai ati k malala common girl nan,positive,"Damn girl, some people just don't get it, Malala is such a common girl, man.","दमन गर्ल, कुछ लोगों को यह बात समझ नहीं आती कि मलाला, कॉमन गर्ल, नैन"
12619,mukhiya mujh poora yakeen hai muslim kabhi hindu ke saath nahi ho sakta hi yadi huaa bhi wo bus gaddari,negative,"The leader firmly believes that a Muslim can never be with a Hindu, and even if it happens, it's just betrayal.","मुखिया मुझ पूरा यकीन है मुस्लिम कभी हिंदुओं के साथ नहीं हो सकता ही, अगर हुआ भी तो बस गदरी"
12620,vivek oberoi sir apka perform powerful laa javab blockbust movi nan,positive,"Vivek Oberoi sir, your performance was powerful and the movie is a blockbuster.","विवेक ओबेरॉई साहब का प्रदर्शन बहुत मजबूत है, इसका जवाब ब्लॉकबस्टर मूवी नहीं दे सकता।"
12624,agar hindu marpeet kre secular agar muslim mar peet kre secular kaha chala jata h,negative,"if Hindus kill it's called secular, if Muslims kill it's also called secular, where does this lead us?",अगर हिंदुओं को मार डाला जाए सेक्यूलर अगर मुस्लिमों को मार डाला जाए सेक्यूलर कहाँ चला जाता है
12625,worldvictorioussaint saraswati marg darshan karn wala taran taran asia khand mein jis desh ke naam hindustan hind,neutral,"World Victorious Saint Saraswati Marg, the place to visit Taran Taran in the Asian continent, in the country named Hindustan.",वर्ल्ड विक्टोरिअस सेंट सरस्वती मार्ग दर्शन करने वाला तरण तरण एशिया खंड में जिस देश का नाम हिंदुस्तान है
12627,dakurani aurat ka wo roop hai jo sirf jhoot ki machin hai aur bacha b 4month main bana k dey sacti hai haha nan,negative,"That woman is just a liar and can get a kid pregnant in just 4 months, hahaha.",दकू औरत का वो रूप है जो सिर्फ़ झूठ की मशीन है और बच्चा 4 महीने में बना कर दे सकती है हाहा नान
12628,bikay hue ghumman tum khud ghoomay huay ho hi aur haram ki khud bhi khaatay ho aur apnay ghar waalon,negative,"You hypocrites, you wander around yourself and also indulge in forbidden acts while criticizing your own family.",बिकर हुए घूमने तुम खुद घूमे हुए हो ही और हाराम की खुद भी खाते हो और अपने घर वालों
12629,koi rasta bacha nahi kare kya ! ! ! ! vais unhon parti ka growth kiya hai bat k,negative,"is there no one to save the way!!! well, they have promoted their party's growth though.",कोई रास्ता बचा नहीं करे क्या!!!! वैसे उनhone पार्टी का growth किया है बत क
12631,eid ke mauk per arah hai apn salman bhaijan lekar bharat movi unk fan ke liy yeh eidi hua unk taraf se 🙂 nan,positive,"On Eid, I took my brother Salman to see Bharat movie as an Eid gift from his fans 😊",ईड के मौके पर आराह है अपने सलमान भाइजान लेकर भारत मोवी उनके फ़ैंस के लिए यह ईदी हुआ उनकी तरफ़ से 😊 नान
12633,shaadi krne k baad 03-apr ess bach paeda karunga jo padosiyo ka jeena haram krde saal polic protect lene pr majboor ho jaay 🤣🤣 nan,negative,"After getting married on April 3rd, I'll give birth to this brat who will make the neighbors' life hell, and we'll be forced to seek police protection 😂😂 sorry","शादी करने के बाद 03-अप्रैल सस्सी बच्चा पैदा करूंगा जो पड़ोसियों का जीना हराम कर दे, साल पुलिस की रक्षा लेने पर मजबूर हो जाऊंगा 🤣🤣"
12634,bakwa karta hey bc londay sara waqt k sath tweeter per busi hotay hein practic,negative,You fools are busy on Twitter all day long instead of practicing.,बकवास करते हैं बीसी लोंडे सारा वक्त के साथ ट्विटर पर बसी होते हैं प्रैक्टिस
12636,awwwi ❣️ anw good morn beauti swan minari 😚✨ nan,positive,"awwwi ❣️ anyway, good morning beautiful swan darling 😚✨ sweetie",अव्वी ❣️ अनव गुड मॉर्निंग हे सुंदर स्वान मिनारी 😚✨ नन
12638,a7laaa ou a6yaaab aamal 😭♥️♥️♥️ grate got know year truli bless 💕💕💕 thank nan,neutral,a7laaa and a6yaaab aamal 😭❤️❤️❤️ great to get to know you truly blessed 💕💕💕 thanks a lot,"सबसे अच्छा और सबसे प्यारा काम 😭❤️❤️❤️ मजबूत होने के लिए धन्यवाद, इस वर्ष में तुम्हें जानकर सच्चे बल की ओशन मिली 💕💕💕 नैन से धन्यवाद"
12639,bgb oooh good bless em fun xxx nan,positive,"Oh good bless them, so much fun!","ब्गब ओह बहुत अच्छा, उनकी खातिर ईश्वर की कृपा हो, मज़ा आया, नैन"
12640,jn khandanon ne hijrat ki apna sb kch lutwaya apn pyaron ki bay gor kafan lashen uthain unhi blk,negative,"in those riots, they had to flee, losing everything, and carry the coffins and bodies of their loved ones themselves","जे ख़ानदानों ने हिज्रत की, अपना सब कुछ लूट दिया, अपने प्यारों की बेगोर कफन लाशें उठाए उन्हीं बल्क"
12641,happi birthday sona heiden - filmi duniya help line 8866681188 / 2288 / 3388 / 4488 born 31 may 1943 ( ag,neutral,Happy birthday Sona Heiden - Film world helpline 8866681188 / 2288 / 3388 / 4488 born 31 May 1943 (age,हैप्पी बर्थडे सोना हाइडन - फिल्मी दुनिया हेल्प लाइन 8866681188 / 2288 / 3388 / 4488 पैदा हुआ 31 मई 1943 (अग
12642,tottenham liverpool ko support nhi h liverpool ka kismat nhi h bc dekhunga hi nhi 😂🙏 nan,negative,"I don't support Liverpool, Liverpool's fate is not good, I won't even watch it 😂🙏 sorry man","टॉटनहम लिवरपूल को सपोर्ट नहीं है, लिवरपूल का किस्मत नहीं है, बीसी देखुंगा ही नहीं 😂🙏 नान"
12643,illiter bhakto ki sazaa ab pure india ko milegi jinki khud ki degre fake h wo educ depart sambhaleg ... … nan,negative,"The punishment for illiterate fools will now be given to the whole of India, where those whose own degrees are fake will run the education department... nonsense","इलिटरेट भक्तों की सज़ा अब पूरे इंडिया को मिलेगी, जिनकी खुद की डिग्री फेक है वह शिक्षा विभाग संभालेगा... ... नन"
12646,biya 1214 jahan temporari jazbat hote hen wahan shyd ek time ata h k dil bhar jata h lekin jahan perman muhabbat ho nan,neutral,"When feelings are temporary, there comes a time when the heart fills up, but where there is permanent love...",जहाँ तारीक़ जाज़बात होते हैं वहाँ शायद एक समय आता है जिसमें दिल भर जाता है लेकिन जहाँ प्रमाण मुहब्बत होती है नहीं
12648,lsrk congratul 2 jiya complet 18k follow 😍 wish mani mani ♥️ mubarak ho apko stay khush 💯🌸😍♥️ j nan,positive,Congrats on hitting 18k followers 😍 Wishing you many more 🤍 May you always be happy 💯🌸😍❤️,लास्क अभिनंदन जीया को 18क फॉलोअर पुरे होने पर 😍 मनी मनी ♥️ मुबारक हो आपको स्टे क्षुश 💯🌸😍❤️ जी नान
12649,ye naaz ye andaaz humar nahi hote jholi agar tumhar nahi hote bedaam hi bikjayeng bazar nabi iss shaan,neutral,"This attitude and style are not ours; if these bags are not yours, they will definitely sell in the market, Nabi.","ये नाज़ ये अंदाज़ हमारे नहीं होते, झोली अगर तुम्हारी नहीं होती, बेदाम ही बिक जाएंगी बजार नबी इस स्हान"
12650,salamat kay maam hue ug sushi,neutral,thank you to the maam for the sushi,सलामत के माम हुए और सुशी
12652,whi n't u take place modi bad solv problem minut lectur dena bohut assan hai nan,neutral,"Why don't you solve problems instead of giving long lectures, it's much easier that way.",व्हाई नॉट यू टेक प्लेस मोदी बाद सोल्व प्रोब्लम मिनट लेक्चर देना बहुत आसान है नन
12653,pm modi ji ko dobera bharat ka pm baney jane ki hardik subhkamnayeaasa karta hu aap mere bharatvarsh ko vishav,positive,I wholeheartedly wish that PM Modi becomes the Prime Minister of Bharat again and leads our country to glory.,"पीएम मोदी जी को फिर से भारत का पीएम बनने की हरदिक शुभकामनाएँ करता हूँ, आप मेरे भारतवर्ष को विश्व का नेता बनाएंगे।"
12656,main nahi dekhi raaz everyth superb song best sabhi horror b shandar tha,neutral,"I didn't see Raaz but everything was superb, the songs were great and all the horror elements were fantastic too.","मैंने नहीं देखा राज़, लेकिन हर चीज़ सुपरब सोंग बेस्ट थी, सभी हॉरर भी शानदार थे।"
12657,sorri hear koi baat nahi sir desh mai modi sarkar agaya nan,positive,"Sorry, but no worries, Sir. In our country, the Modi government has come to power.",सॉरी हेर कोई बात नहीं सर देश में मोदी सरकार आ गई न
12659,pakistan team wo gandi aulaad hy jisay na insaan rakh sakta hy na chor sakta hy nan,negative,The Pakistan team is such scum that neither can a person keep them nor get rid of them.,पाकिस्तान टीम वह गंदी औलाद है जिसे न इनसान रख सकता है न छोड़ सकता है
12661,aur pakistani media per nach gana bhi band hona chahiy raat 12 bajey tamam tv channel band honey chahiy nan,negative,and Pakistani media should also ban dancing and singing after midnight; all TV channels should be shut down by then.,और पाकिस्तानी मीडिया पर रात 12 बजे से सभी टीवी चैनल बंद होने चाहिए।
12662,veri good 🇮🇳🇮🇳🇮🇳🙏🙏🙏 sabhi se anurodh hai ki desh ke liy soch desh ke liy kare ak sachch desh b,positive,very good 🇮🇳🇮🇳🇮🇳🙏🙏🙏 I request everyone to think for the country and work for the country to make it a true nation,"बहुत अच्छा 🇮🇳🇮🇳🇮🇳🙏🙏🙏 सभी से निवेदन है कि देश के लिए सोचें, देश के लिए काम करें, एक सच्चा देश बनाएँ"
12664,aray nhe nawaz sharif sala dulla hara walay ka pota hy tmhay kisi nay ghalat batya hy waisay bhe kapta,negative,"Hey, Nawaz Sharif is the son of a donkey-skin seller, no one has told you anything wrong, anyway he's just a liar","अरे नहीं नवाज़ शरीफ सला डुल्ला हारने वाले का पोता है, तुम्हें किसी ने गलत बताया है, वैसे भी कपटा"
12665,rehn bro pappu na ho payega pata chala return home ka raasta bhool gaya tumh hi jaak leke ana padega agar,neutral,"listen bro, it seems like Pappu couldn't make it, he forgot the way back home, you'll have to go and bring him yourself if you want","रहन भाई, पप्पू ना हो पायेगा, पता चला, रिटर्न होम का रास्ता भूल गया, तुम्ही जाकर ले आना पड़ेगा अगर"
12666,siddhuquitpolit sardar thok tali chor polit bhut burai kar rha tha tu karma fuck hard nan,negative,"Siddhu quit politics, you damn thief, your politics is really bad, you fucking bastard",सिद्धू कीटपोलिट सरदार थोक ताली चोर पॉलिट भुत बुरा कर रहा था तू कर्म फक हार्ड नन
12667,june offici halfway thru year mind blow nan,neutral,"June office, halfway through the year, mind blown NaN","जून में ऑफिस में साल का आधा हिस्सा गुजर गया, मन पर असर हुआ।"
12668,jb tak sindh main bewakuf log hain zardari jail nahi jasakta gareeb sindhi aaj,negative,"As long as there are foolish people in Sindh, Zardari can't go to jail, poor Sindhis today",जब तक सिंध में बेवकूफ़ लोग हैं जरदारी जेल नहीं जा सकता गरीब सिंधी आज
12669,nahi aaj kal kanhaiya kumar vo kutta jisk saath photo post ki hai dono iski lete reht h nan,negative,"No, these days Kanhaiya Kumar and that dog with whom he posts photos both keep taking advantage of him.","नहीं, आज कल कण्हैया कुमार वो कुत्ता जिससे फोटो पोस्ट की है, दोनों इसकी लेते रहते हैं।"
12671,modi ji ye sapath grahan samaroh har 5 saal baad aap hi kareng jab tak aap ban sakeng tab tak aapk,positive,"Mr. Modi, this oath-taking ceremony will happen every 5 years until you can become what you want to be.",मोदी जी ये सपत ग्रहण समारोह हर 5 साल बाद आप ही करेंगे जब तक आप बन सकेंगे तब तक आपका
12672,hon b cm uk sh rawat ji ko bahut bahut badhai regard rajesh parmar parsad n n dun uk,positive,Congratulations to Chief Minister Rishi Sunak from Rajesh Parmar and Nirmala Sitharaman in the UK,होन बी सीएम यूके शरवत जी को बहुत-बहुत बधाई रेगार्डस रजेश परमर पारसद एन एन दन यूके
12673,happi happi birthday tere jais dost duniya mein hote hain bahut chhote se mere dil mein onli hai,positive,"Happy happy birthday, friends like you are very rare in the world, but you are in my heart alone.",खुशियाँ खुशियाँ जन्मदिन तेरे जैसे दोस्त दुनिया में होते हैं बहुत सारे पर मेरे दिल में केवल तुम हो
12674,jhuth nhi ye 😂😂😂 boy feku 😂 nan,negative,no way this is true 😂😂😂 you're such a liar 😂 man,झूठ नहीं ये 😂😂😂 बोय फेकु 😂 नान
12676,pintuchaudhari kyu najayz ko najayaz bolk gussa dila rahe ho galti ho g,negative,"Pintu Chaudhary, why do you call Najayaz 'najayaz', it just makes me angry, it's a mistake.","पिंतुचौधरी क्यों नजायज़ को नजायज़ बोलकर गुस्सा दिला रहे हो, गलती हो गई"
12677,jai baba balaknath bandara villag fast mai apka swagat hai ) — feel happi garam panchayat-bara,positive,"Welcome to Baba Balaknath Bandara village, feel happy at the warm panchayat-barah.",जय बाबा बलकनाथ बंदरा विल्लेज़ फास्ट में आपका स्वागत है — गरम पंचायत-बारा में खुशी से भरोसा करें
12681,जी.. bjp ke jaal main mat fasiy ye log emot ke sath khelker hi jitt hain pls samjhn ki k,negative,"Yeah.. don't get caught in the BJP's trap, these people win by playing with emotions, please understand that",जी.. बीजेपी के जाल में मत फँसो ये लोग एमोट के साथ खेलकर ही जीतते हैं प्लीज़ समझना कि
12684,chuno ke doran tune jo toti chori ki hai 5 saal ka kharch anikaln ke liy unh bech nahi paayega ..…,negative,"during this time, you won't be able to sell the house because of the theft you committed, which will cost you 5 years of expenses...","चुनो के दौरान जो टोटी चोरी की है, 5 साल का खर्च निकालने के लिए उसे बेच नहीं पायेगा।"
12685,modiji welcom peopl countri great expect form parliament app,positive,Modi ji welcomes people from all over the country with great expectations in Parliament.,"मोदीजी ने लोगों का स्वागत किया, देश की महान अपेक्षाएँ संसद से प्रारंभ हुई"
12686,modi sarkaar aan se liber samaaj shok ka vatavaran koi kuch nahi likh raha rw wale pareshan rw wale apna gussa rw w nan,negative,"The Modi government has created such a toxic atmosphere that no one is writing anything, those who speak up are troubled, and they vent their anger on social media.","मोदी सरकार आने से लिबर समाज शोक का वातावरण है, कोई कुछ नहीं लिख रहा, रव वाले परेशान, रव वाले अपना गुस्सा रव वाले नहीं।"
12690,happi morn joy day nation first jai jawan jai hind vand matram hindustan jindabad,positive,"Happy morning, joyful day. Nation first, Jai Jawan, Jai Hind, Vande Mataram, Hindustan Zindabad!",खुशहाल सुबह खुशियों का दिन राष्ट्र की पहल जय जवान जय हिंद वन्द मातरम् हिंदुस्तान जिन्दाबाद
12693,modi aa ke bata dega ki ye fake video hai tab bhi besharam patrkar ye tweet delet nhi karega nan,negative,"Even after Modi comes and says that this is a fake video, the shameless journalist won't delete the tweet.",मोदी आकर बता देंगे कि यह फ़ेक वीडियो है तब भी बेशर्म पत्रकार ये ट्वीट नहीं हटाएगा
12699,tera koi tweet nhi dikha jab amethi bjp k worker ko mara gaya waha bhi apni gandi shakal lekar j,negative,"Your tweets don't show up when a BJP worker was killed in Amethi, but you still show your ugly face there.","तेरा कोई ट्वीट नहीं दिखा जब अमेठी में बीजेपी के श्रमिक को मारा गया, वहाँ भी अपनी गंदी शकल लेकर आया।"
12701,sir ager mari bat modi ji tak jay may kahna chahata hu ki garibo ko rasan danay kay,positive,"Sir, if I could speak to Mr. Modi, I would like to tell him about distributing food to the poor.",सर अगर मेरी बात मोदी जी तक पहुंच जाए तो कहना चाहता हूं कि गरिबों को रोटियाँ देने के
12702,hardik badhai avm subhkamnay shredhiy narendra modi ji,positive,warm congratulations and best wishes from Narendra Modi ji,हार्दिक बधाई और सुभकामनाएँ श्री नरेन्द्र मोदी जी
12705,kam ke bad bhi elect ja,neutral,"even after work, go to the gym",काम के बाद भी इलेक्ट जा
12707,pakistan k musalmano ramadan jati jati b humi mazboot kr rha h match dekhti hue gaali ni deni 😂 iccwc2019 nan,neutral,Pakistani Muslims are strengthening their bonds during Ramadan while watching matches without giving abuse 😂 iccwc2019,पाकिस्तान के मुसलमान रमजान जति जति ब हमी मजबूत कर रहा है मैच देखते हुए गाली नहीं देनी 😂 iccwc2019 नन
12708,someon abus countri laugh yehi gaali congress walo ki di hoti ab tak behanji ne hun,negative,"Someone abuses our country, these insults were given by Congress people until now, but Behanji never did.",किसी ने अबुस कंट्री लाफ़ यही गाली कांग्रेस वालों की दी होती अभी तक बहनजी ने हूँ
12711,rashid hanuman tumara superman bheem tumhara thor,neutral,"Rashid, Hanuman is your Superman and Bheem is your Thor.",रशिद हनुमान तुम्हारा सुपरमैन भीम तुम्हारा थोर
12712,smile friday happi birthday great day dil se badhai nan,positive,Smile Friday happy birthday great day heartfelt congratulations Nan,स्माइल फ्राईडे हैप्पी बर्थडे ग्रेट डे दिल से बधाई नन
12714,mera pnr nb 2460725150 hai ye bogi / c work nahi ho rahi hai attend bi kuch kar nahi raha hai boln par ka,negative,"My PNR number is 2460725150, but this coach / compartment is not working at all, even after complaining no one is doing anything.","मेरा पीएनआर नंबर 2460725150 है, ये बोगी / सी वर्क नहीं हो रही है, अटेंड भी कुछ कर नहीं रहा है, बोलने पर काम नहीं हो रहा।"
12716,phle pure pakistan se atankwadi saaf fir kre gae imran ko maaf nhi vhi apna ullu chaat nan,negative,"They will just clean out all the terrorists from Pakistan and won't forgive Imran, he's just messing around.",पहले पूरा पाकिस्तान से आतंकवादी साफ़ कर दिया फिर इम्रान को माफ़ नहीं ही अपना उल्लू चाटना
12717,selector ne bhi vijay shankar ko ye soch kar choos kiya ki chalna kisi ko bhi nhi hai number,neutral,The selector chose Vijay Shankar thinking that no one can run as well as him.,सिलेक्टर ने भी विजय शंकर को यह सोचकर चुना कि चलना किसी को भी नहीं है नम्बर
12718,use bolunga ki iski bur ka bhosada ban gya hai chuchiyan papit ki tarah latak gai hai aur twitter ki,negative,"I'm saying that it has become a complete mess, like rats hanging around and Twitter is full of it.","मैं बोलूँगा कि इसकी बुरी भाँति भोसड़ा बन गया है, चुचियाँ पेपिट की तरह लटक गई है और ट्विटर की"
12721,congress ki haar ka 1 karan ye khujliwala baba bhi 😋 bada choudhri bana firta tha,neutral,The reason for Congress's loss is that Khujliwala Baba also 😋 used to be a big landlord.,कांग्रेस की हार का एक कारण ये था कि खुजलिवाला बाबा भी 😋 बड़ा चौधरी बन फिरता था
12722,- dont boyfriend - phir coffe chalein - husband - 😶😶 meshestori nan,neutral,don't boyfriend - then coffee let's go - husband - 😶😶 mesh story man,दोन्ट बॉयफ्रेंड - फिर कॉफी चलें - हस्बंड - 😶😶 मेशटोरी नान
12723,tum log kabhi nahi sudhrog everi time upper cast lower cast nonsens nan,neutral,"you guys never improve, always upper caste lower caste nonsense man","तुम लोग कभी नहीं सुधरोग, हर बार ऊपर कास्ट, निचला कास्ट, नॉनसेंस।"
12725,bharat mata ki jai vand matram jai shri ram,positive,"Hail Mother India, Vande Mataram, Hail Shri Ram",भारत माता की जय वंद मात्रम् जय श्री राम
12728,bandi call punjabi worst white peopl pakistan te mera bs nai chalandeya k endiyaan internet,negative,bitch call worst white people in Pakistan and I just can't stand it anymore in India with this internet,बंडी कॉल पंजाबी वर्स्ट व्हाइट पीपल पाकिस्तान ते मेरा बस नहीं चलनेदा है इंडियन इंटरनेट
12730,love job & new hous love everyth im right ion think ever happi life nan,positive,"I love my job and my new house, I love everything about it, I feel like I'm in the best phase of my life.","मैं अपनी नई नौकरी और घर से प्यार करता हूँ। मुझे सब कुछ पसंद है, मुझे लगता है कि यह मेरी सबसे खुशहाल जिंदगी है।"
12733,dear sir hamar aliganj chetra jay sankar word kafi samay se siver tuta pada hai iski sikayat humn kyi ba,neutral,"Dear Sir, in our Aliganj area, Jay Sankar's electricity connection has been broken for a long time. We have made complaints about this.","प्रिय सर हमारे अलीगंज क्षेत्र में जय संकर वार्ड का सीवर टूटा पड़ा है, इसकी शिकायत हमने कई बार"
12736,j b pride nahi yeh 🐈 doodh pr hi jiti hai 😂😂 nan,neutral,"it's not about pride, this cat just wins with milk 😂😂",जब प्राइड नहीं ये बिल्ली दूध पर ही जीती है 😂😂 नन
12738,welcom new india jo problem develop need poverti n't mind onli communal violenc ha,negative,Welcome to the new India where problems and poverty are developing and the only thing on people's minds is communal violence.,"नवीन भारत में स्वागत है, जहाँ समस्या का विकास की आवश्यकता और केवल सामुदायिक हिंसा है, गरीबी को कोई मन नहीं देता।"
12739,bc haad ho gyi aar mc uss bacha leyta ya video apni gand thoo le bc bagwan ne dill,negative,"bc it’s gotten really bad, that kid is just wasting his life or making videos to show off, bc damn it hurts so much",बीसी हाद हो गई अरे मसी उस बच्चा लेता या वीडियो अपनी गंद ठू ले बीसी भगवान ने दिल
12741,thank lord bless see mage grate sana tayo even sa pinakamaliliit na bagay na binibi nan,positive,"Thank Lord for blessing us, even in the smallest things we have.","धन्यवाद ईश्वर की आशीर्वाद से हमें ऐसा महान दृश्य देखने को मिला। फिर भी हम सबकुछ के लिए धन्यवाद देते हैं, चाहे वह सबसे छोटी चीज़ हो।"
12743,54 thank wear nation dress open ceremoni cwc19 done us proud,positive,Wearing the national dress at the opening ceremony of CWC19 made us very proud.,"54 धन्यवाद, राष्ट्रीय वस्त्र पहनकर खुलने की समारोह में CWC19 में हमें गौरव दिलाया।"
12744,sorri one break bilaw grandfath actual dead zinda hay,positive,"Sorry, one minute, my grandfather who was actually thought to be dead is alive.","माफ़ कीजिए एक सुनियो दादा वास्तव में मरे नहीं हैं, उनकी जिंदगी है।"
12745,unko hindu-muslim krne se fursat milega tab socheng na 😀😅😂 iron media count,positive,he will get time to think when he stops arguing about Hindu-Muslim stuff 😀😅😂 thanks to the media for the distraction,उन्हें हिन्दू-मुस्लिम बनाने से फुरसत मिलेगी तब सोचेंगे ना 😀😅😂 आयरन मीडिया काउंट
12746,ur great leader sir pray god good health aap jaldi thik ho kar vapa aaiy aap jai,positive,"You're a great leader, sir. May God bless you with good health. I hope you get well soon and come back.","आप अच्छे सेनानी हैं सर, प्रभु आपको शीघ्र ठीक होने का फल मिले। आप जल्दी ठीक होकर वापस आइए, आप जी"
12747,lo bangaya india super power educ fale liber modi hater start cri,negative,India is lagging behind as an educational superpower; Modi haters are starting to criticize.,ओह बंगया इंडिया सुपर पावर शिक्षा फेल लिबर मोदी हैटर स्टार्ट क्राइ
12748,dth provid maalam ho rahe hain aur gareeb halal pleas new dth polici band karen bjp sarkar ke,positive,DTH providers are doing well and please stop the new DTH policy by the BJP government,डी.TH प्रोवाइडर मालम हो रहे हैं और गरीब हलाल प्लीज़ नई डी.थी.एच पोलिसी बंद करें बी.जे.पी सरकार के
12749,yeh hai hindustan ki shaan jo apni jaan dekar dusro ko tofha de jta hai salut brother 🇮🇳,positive,"This is the pride of India, who gives gifts by sacrificing their own life. Salute brother 🇮🇳","यह है हिंदुस्तान की शान, जो अपनी जान देकर दूसरों को तोफ़ा दे जाता है सलूट भाई 🇮🇳"
12750,baadshah wolverin bechar wo zakham nhi bhole 40 % screen pe houseful 😂😂😂 nan,neutral,king wolverine poor guy doesn't forget those scars even at 40% screen presence 😂😂😂 nope,बादशाह वोल्वरिन बेचरा वो जखम नहीं भूले 40% स्क्रीन पे हाउसफुल 😂😂😂 नैन
12751,yeah darlin gon na make happen take world love embrac fire gun explod space nan,positive,"Yeah darling, we're going to make it happen, take the world's love and embrace the fire, guns will explode in space, nan.","हाँ प्यारी तू ही सब कुछ कर देगी, दुनिया को प्रेम में समेट लेगी, आग और बंदूक की फटाफटी में अवकाश नान"
12755,jeetan patel absolut legend great win let 's hope 's onward upward coyb warvsu nan,positive,"Jeetan Patel, absolute legend! Great win. Let's hope for onward and upward. COYB WarvsU Nan!","जीतन पटेल अब्सोलुट लेजेंड, महान जीत है। आशा करते हैं कि आगे चलकर ऊपर की ओर बढ़ेंगे। कॉयब वार्वसु नन"
12756,pakistan ko kisi ne btaya nahi t20 world cup nahi h ye jo 20 hi ludak gay nan,negative,"No one told Pakistan that the T20 World Cup is not happening, they just lost by 20 runs.","पाकिस्तान को किसी ने बताया नहीं टी20 विश्व कप नहीं है, ये जो 20 ही लुड़क गये नान"
12757,qazi essa ke bete hona koi certifi cheez nahi sc ke judg faisla karleng patwariyo ka khof samajh nahi aaraha wese nan,neutral,"being the son of qazi essa is not a certified thing, the court will make a decision, I don't understand the fear of the patwaris like that, man","काजी इस्सा के बेटे होना कोई सर्टिफिकेट चीज़ नहीं, सीसी के जज़ फैसला कर लेंगे, पटवारियों का ख़ोफ़ समझ नहीं आ रहा वैसे नान"
12758,ab elect complet ho gye sarkar bhi ban gyi ab yogi ji modi ji u p electr paani ka dekh lo haala,neutral,"the elections are over, the government has been formed, now please look at the situation of electricity and water in UP under Yogi Ji and Modi Ji","अब इलेक्शन पूरे हो गए, सरकार भी बन गई, अब योगी जी मोदी जी के उत्तर प्रदेश का इलेक्ट्रिक पानी का हाल देखो।"
12761,well done time well host good job ata aamchya apexanvr pani feru nka next wee nan,neutral,"Well done, time well spent. Good job at our place, let's meet again next week.",अच्छा काम है समय अच्छे मेजबान अच्छी तरह से किया गया काम अब अपने शीर्ष पर भी फ़ेर लो अगले सप्ताह में
12763,smriti ji bas aps ek gujari hai ki ap amethi ke chaplooson se bach ke rahiyega congratul victori nan,negative,"smriti ji, you're just a liar who managed to escape from the scammers in amethi, congratulations on your hollow victory.","स्मृति जी, बस आपसे एक गुजरी है कि आप अमेथी के चापलूसों से बच के रहियेगा, विनयन विक्टोरी नहीं।"
12766,sharam nahi ati hai beghairat ghadari k cetif bantn wale brigad ko nan,negative,Shameless traitors who distribute certificates of betrayal deserve no respect at all.,शर्म नहीं आती है बेग़ेरत घड़ारी के सर्टिफिकेट बांटने वाले ब्रिगेड को नन
