original_index,sentence,label,translation_en,translation_hi
627,English bolne nahi aati toh uska rape toh mat karo.,non-hate,"If she can't speak English, then don't rape her.",अगर अंग्रेज़ी बोलने में नाकाम है तो उसका किस्सा मत करो।
628,aatak baadi tabhi hate gha jab ham aam public jokna rhe unpe kari nazar rakhe to aatak khtm ho jaaye gha,hate,attacks will stop only when we keep an eye on the general public who are making jokes about it,"हम जब सामान्य जनता को जोखिम में रखकर कार्रवाई करते हैं तभी हम पर हमला होता है, अगर हम उनपर नजर रखें तो हमला समाप्त हो जाएगा"
629,"@SushmaSwaraj Madam- Aaj meri bahan ka rape kya gaya ha. wo 21 saal ki mentally and physically challenged hai, mujhe aap ke mdt ki jarurat",non-hate,"@SushmaSwaraj Ma'am - Today my sister was raped. She is 21 years old and mentally and physically challenged, I need your help.","@SushmaSwaraj जी - आज मेरी बहन का रेप हो गया है। वह 21 साल की मानसिक और शारीरिक रूप से चुनौतियों से परेशान है, मुझे आपकी मदद की जरूरत है"
630,Himesh !! I hate him !! Kya mike laga ke Rakha Hai Kya gale mein,hate,"Himesh!! I hate him!! What, did he put on a microphone or something around his neck?",हिमेश !! मैं उसे नहीं सवार कर सकता !! क्या माइक लगा है या गले में?
631,@ArunbajpaiRajan eakdam sahi kha pta nahi kab hate ghi aesa soch,non-hate,"@ArunbajpaiRajan absolutely right, who knows when they will start thinking like this",@ArunbajpaiRajan बिल्कुल सही है पता नहीं कब इस तरह सोचने लगेंगे
632,Bhai hate ni pyar phailata ha or jo pyar se nhi manta na wo usme itne ched karta ha ki wo confused ho jata ha ki sans kaha se le aur....? https://twitter.com/BeingSalmanKhan/status/818114483524665344 …,non-hate,"Bro, hate doesn't spread love, and those who don't accept love end up messing with it so much that they get confused about where to even breathe from....",भाई हैट नहीं प्यार फैलाता है और जो प्यार से नहीं मानता वो इसमें इतना चेद करता है कि वो कॉन्फ्यूज़ हो जाता है कि साँस कहाँ से ले...?
633,Punjab me terrorism ki jimmebar to bjp ki dost log he  jhooth ki bhi ek had hoti he,non-hate,"In Punjab, the ones responsible for terrorism are BJP's friends; even lies have a limit.","पंजाब में तरोरिज़्म की जिम्मेदार तो BJP के दोस्त लोग ही, झूठ की भी एक हद होती है"
634,Pakistan me rape nahi hotey kya rape ek mard karta he phir chahe kisi bhi mazhab ka ho,non-hate,"In Pakistan, rapes don't happen? A man commits rape, no matter what religion he belongs to.","पाकिस्तान में रेप नहीं होते क्या? रेप एक पुरुष करता है, फिर चाहे वह किसी भी मजहब से हो।"
635,Chiiii....I hate him...Mr.Gupta https://twitter.com/ViniMehra1/status/818132809051205633 …,hate,Chiii....I hate him...Mr. Gupta https://twitter.com/ViniMehra1/status/818132809051205633,ची....मैं उसे घर्षण करता हूँ...श्री गुप्ता
636,hamare yahan yeh crime hai tumhari tarah mard ka hak nahi hai isliye hum ise rape kehtey hain aur report kartey hain.,non-hate,"In our place, this is a crime; men don't have the right to do this, so we call it rape and report it.","हमारे यहाँ यह अपराध है, तुम्हारी तरह के पुरुषों का कोई अधिकार नहीं है इसलिए हम इसे बलात्कार कहते हैं और इसकी रिपोर्ट करते हैं।"
637,muslim kafiron sa phir bhi lakh guna achy ha tumhary hindu india main her jaga rape kar rahy hai un per bat karo,non-hate,"Muslim infidels are still a million times better than you; Hindus in India are raping them everywhere, go tell them.",मुस्लिम काफिरों से फिर भी लाख गुना अच्छे हैं तुम्हारे हिंदू इंडिया में हर जगह रेप कर रहे हैं उनपर बत नहीं कर पा रहे
638,Aur koi arguement kar lo .. reh gaya hai tou... saara din kis ka ser khaati ho? Bestie hate you... yeh bhi tweet ker rahi hain...,hate,And argue about it.. whatever.. why do you eat off everyone’s plate all day? Bitch hates you… she’s even tweeting about it…,और कोई तर्क कर लो.. रह गया है तो... सारा दिन किसकी सेव कहाँ होती है? बेस्टी मैं तेरी घुटनी काट दूँगा... यह भी ट्वीट कर रही है...
639,PM apna Vada Nebhae Bename Sampatte RakhneWalon ko Paker ker Unke Sampatte Raj-Sat kare Peche na hate @PMOIndia @HMOIndia @aajtak @BBCHindi,hate,"Prime Minister, arrest those who hide assets in someone else's name and seize their properties without hesitation @PMOIndia @HMOIndia @aajtak @BBCHindi",प्रधान मंत्री अपना वादा पूरा करके बेनामी सम्पत्ति रखने वालों को पकड़ उनकी सम्पत्ति राजसत कर दिया कर पीछे न हटना @PMOIndia @HMOIndia @aajtak @BBCHindi
640,@narendramodi Sir meri chhoti  bahan ka rape aaj hua hai.,non-hate,"@narendramodi Sir, my little sister was raped today.",@narendramodi सर मेरी छोटी बहन का रेप आज हुआ है।
641,#IndoUsTies #terrorism #ModiObama,non-hate,#IndoUSRelations #terrorism #ModiObama,#भारतअमेरिका_संबंध #तौरण #मोदीओबामा
642,"@narendramodi Sir, Mere behan ka rape hua hai. aaj mere gaon mein gav ke hi ek aadmi ne rape kiya hai. please meri mdt kare.",non-hate,"@narendramodi Sir, My sister was raped. Today, a man in my village just raped her. Please help me.","@narendramodi सर, मेरी बहन का रेप हो गया है। आज मेरे गाँव में ही एक आदमी ने रेप किया है। कृपया मेरी मदद करें।"
643,taagi padipoyina amayini cheste rape e avuddi,non-hate,"taagi padipoyina amayini cheste rape e avuddi translates to 'you slut, you deserve to be raped'",टागी पड़िपोयिना अमायिनी चेस्ते रेप इ अवुद्दी
644,sasti lokpriyeta ke liye chote sale Modi ji per galat salat.jhuta mudda it hate rahta hai,hate,"For cheap popularity, these little bastards spread lies about Mr. Modi. This fake issue keeps spreading hatred.",सस्ती लोकप्रियता के लिए छोटे सलें मोदी जी पर गलत सालात।झूठा मुद्दा यह है कि यह घृणा रहता है
645,Lolwa hate toh mai bhi nahi karta...lekin ainvey hi,non-hate,I don't even hate...but whatever,लोलवा हैट तो मैं भी नहीं करता... लेकिन ऐन्वे ही
646,madam Ji hate krne k lie phle 50+ seats le aao loksabha m,non-hate,"First get over 50 seats in the Lok Sabha before you start hating, madam.",मैडम जी हेट करने से पहले लोकसभा में पहले 50+ सीटें ले आइए
647,Ghaaaad  pashagitun jud daw ug rape,non-hate,"Fuck you, go get raped",गाड़ पशागितुन जुड़ दे रेप
648,haan sach mein @drramansingh to bilkul modi ji andhe ban gye 16 tribals ke rape par. waha to polity ka natak nahi hoga sayda?,non-hate,"Yes, really @drramansingh, Modi has completely gone blind to the rape of 16 tribals. There won't be any political drama there, will there?",हाँ सच में @drramansingh तो बिल्कुल मोदी जी अंधे हो गए 16 आदिवासियों के रेप पर। वहाँ तो पोलिटिक्स का नाटक नहीं होगा सायद?
649,Vo bhi rape k maze le rhi hai,non-hate,She's enjoying being raped,वह भी रेप का मज़ा ले रही है
650,tum laave ho maulana tumhara rape kissi aur se nai hota dekh sakta main  khud kerna parta hai,non-hate,"You are a mole, I can see your rape hasn't been done by anyone else, I know how to do it myself.","तुम लावे हो मौलाना, तुम्हारा रेप किसी और से नहीं होता, मैं देख सकता हूँ कि मैं खुद करना पार्टा हूँ"
651,I hate bani nafrat krta hu mai tujse tune bhai se Attitude se bt ki i hate uuuuu bani kuttiya,hate,"I hate you, I create so much hatred towards you, you act like my brother but I hate youuuu, you bitch","मैं तुझसे नफरत करता हूँ, तूने भाई से ऐसी अट्टिटूड से बोला कि मैं तेरी घृणा करता हूँ, बनी कुत्तिया"
652,Agar third eye insan dare to rape case zero ho jaye n sare imandar hojaye,non-hate,If the third eye person dares to make the rape case zero and all become pious,अगर थर्ड आय इनसान डरे तो रेप केस जीरो हो जाएँ और सब इमांदार हो जाएँ
653,Pehle ashram mai jo rape kar rahe hai baba log 16000 larkiyon ka unhe to bacha le,non-hate,"First, the gurus who were raping in the ashram, save those 16,000 girls.","पहले अश्रम में जो बाबा लोग 16000 लड़कियों को रेप कर रहे हैं, उन्हें तो बचा ले"
654,@sardanarohit sir mai purnea bihar ka hu yaha 1 hindu ke sath 4 muslim ne rape kr ke mar dala ... Postmartam report v change kera diya gya hai...Koi kuch nhi kr raha,hate,"@sardanarohit sir, I am from Purnea, Bihar. Here, 4 Muslims raped and killed one Hindu... The postmortem report has also been changed... No one is doing anything.",@sardanarohit सर मैं पूर्णेआ बिहार का हूँ यहाँ 1 हिन्दु के साथ 4 मुसलमान ने रेप करके मार डाला ... पोस्टमर्टम रिपोर्ट भी बदल दी गई है...कोई कुछ नहीं कर रहा
655,"Abe gaddar tu sirf Hindu k khilaf hi qu bolta h, dum  h to Muslim logo ne Kashmir girls ka rape kiya tha uspar b bol",non-hate,"Hey traitor, you only speak against Hindus, if you had the guts, you'd talk about how Muslims raped Kashmiri girls.","अरे गद्दार, तू सिर्फ हिन्दुओं के खिलाफ ही कुछ बोलता है, डर मत आना, मुस्लिम लोगों ने कश्मीर लड़कियों का रेप किया था, उस पर भी बोल"
656,Jyada nhi 5 degree se niche nhi jata  i hate it abhi 15 degree hai btao i was temp in minus,hate,"It doesn't go below 5 degrees, I hate it. It's currently 15 degrees, tell me, what was the temperature when it was minus?",ज्यादा नहीं 5 डिग्री से नीचे नहीं जाता है मुझे इससे नफरत है अभी 15 डिग्री है बताओ मेरा तापमान माइनस था
657,Meri tl pe shadeed mohabbat ka virus phelta hua dikhai de raha tha... to main ne unfollow kr diya... mohabbat k thekedaar apna karobaar kisi aur ki tl pe chamkaen... i hate love.,hate,My TL was showing signs of a severe love virus... so I unfollowed them... love dealers should shine their business on someone else's TL... I hate love.,मेरी टाइमलाइन पर मोहब्बत का विष फैला हुआ दिख रहा था... तो मैंने अनफॉलो कर दिया... मोहब्बत के डीलर अपना काम किसी और की टाइमलाइन पर चमकाएँ... मैं मोहब्बत से नफरत करता हूँ।
658,Aur Madarse me Maulvi rape karte hain to owaisi aur tere jaise log un Maulviyon ke support me aate hain. Hai na ? https://twitter.com/AshraffSalman/status/945024003193831429 …,hate,"And when maulvis rape in madrasas, people like Owaisi and you come to their support. Right?",और मदरसे में मौलवी रेप करते हैं तो ओवैसी और तुम्हारे जैसे लोग उन मौलवियों के समर्थन में आते हैं। है ना?
659,Pakistan bhi khareed lena jab aukaat itni hojae magar pehley in paison se toilets banwao or larkiyon ko kapre pehnao poori tarhan taky rape km hon or gandagi bhi . https://twitter.com/I_Atheist_/status/944636139029266432 …,non-hate,"Buy out Pakistan when you have enough money, but first use this money to build toilets and dress girls properly so that rape decreases and filth also reduces.","जब ऐसी स्थिति हो तो पाकिस्तान को भी खरीद लेना चाहिए, लेकिन पहले इन पैसों से टॉयलेट बनवाओ और लड़कियों को पोशाक पहनाओ ताकि रेप कम हो जाए और गंदगी भी।"
660,Are aisa kuch nahi hai bhai mai abhi bhi SRK ka hi fan hoon or rahunga but ab akki ko bhi respect krta hoon kyuki hate krne ka koi reason hai hi nahi,non-hate,"Dude, nothing has changed; I am still a SRK fan and will remain one, but now I also respect Akki because there's no reason to hate her.",अरे ऐसा कुछ नहीं है भाई मैं अभी भी सRK का ही फ़ैन हूँ और रहूँगा लेकिन अब अक्की को भी सम्मान करता हूँ क्योंकि घृणा करने का कोई कारण ही नहीं है
661,"Ab allhaa Jane Pakistan ka kya hoga. Majhab or peson ke liye terrorism felane bale jab desh ke politics aa rahe hain, a sa lag raha he ke jese, ""suraj west se nikla hey"".... Chor ke haat mein tijori Dene jesi bat ho gayi, ya phir kehelo ki billi ko machhli ki rakhbali karne ko",hate,"So what will happen to Pakistan? When religion and personality are used to spread terrorism and the country's politics come into play, it feels like 'the sun has risen in the west'... It’s as if we’re giving the safekeeping of the jewelry box to a thief, or telling the cat to take care of the fish.","अब अल्लाह जाने पाकिस्तान का क्या होगा। मजहब और पैसों के लिए देश की सरकार में आते ही टेररिज़्म फैलाने वाले, ऐसा लग रहा है कि 'सूरज पश्चिम से उठा है'... चोर के हाथ में टिजोरी देने जैसी बात हो गई, या फिर कहो कि बिल्ली को मछली की रखवाली करने को"
662,Religion ab peace se jyada hate failane ke liye use hota hai.,non-hate,Religion is used more for spreading hate than for peace.,धर्म अब शांति से ज्यादा घृणा फैलाने के लिए प्रयोग होता है।
663,"jitni drama hai utni hi ghatiya, kud dry fruits bed me chupakar khati ho aur vikash ka khana dekhti ho. uske chalne ka majak banaya vikash ne video dekha fir v issue nahi banaya aur tumhari chal se lagta hai ki delivery k bad aunty aa rahi hai. I hate you. https://twitter.com/hinakhanfc_/status/944617612134117376 …",hate,"As much drama as there is, it’s just as terrible. Sneaking around eating dry fruits in bed and watching Vikash eat. Vikash made fun of how she walks but didn’t make an issue after seeing the video, and from your behavior, it seems like the auntie is coming after the delivery. I hate you.","जितनी ड्रामा है उतनी ही घटिया, कुड़ द्राइ फ्रूट्स बेड में छुपकर खाती हो और विकाश का खाना देखती हो। उसके चलने का मजाक बनाया विकाश ने वीडियो देखा फिर भी वह समस्या नहीं बनाई और तुम्हारी चाल से लगता है कि डिलीवरी के बाद ऑन्टी आ रही है। मैं तुमसे प्यार नहीं करता।"
664,1971 mai india se chode Gaye 90k Pakistanis army men se puchna bina rape ke liye rape kaise hota hai,non-hate,"In 1971, India f***ed 90,000 Pakistani soldiers without even asking how rape happens.",1971 में भारत से निकाले गए 90 हजार पाकिस्तानी सैनिकों से बिना पूछे यह कैसे होता है कि यह रेप होता है
665,Ashram me rape karna sikhya jata hai sabko malum hai,non-hate,Everyone knows that rape is taught in the ashram.,"अश्रम में सभी को रेप करना सिखाया जाता है, सबको मालुम है"
666,Bhai ko koi kese hate kr skta,non-hate,How can anyone hate my brother,भाई को किसी तरह से नफरत कैसे कर सकता है
667,aisa koi baat nai hai.aise logo ka mai suport nai karta.aise rapist ko kutte ki maut dena chahiye. sirf yeh bolke nai jo rape karta hai usko,hate,There's no such thing. I don't support people like this. These rapists should be given the death of dogs. It's not enough to just say that those who rape should be punished.,ऐसी कोई बात नहीं है।ऐसे लोगों का मैं सपोर्ट नहीं करता।ऐसे रेपिस्ट को कुत्तों की मौत देनी चाहिए।सिर्फ यह बोलकर नहीं कि जो रेप करता है उसको
668,U know aise gatiya fanz ki bagah se shilpa ko bahot log hate karta hai jab dekho bina baat ki gali dena n unrespect karna hadh hai brainless ppl,hate,"You know, a lot of people hate Shilpa when they see her fans trash talking and disrespecting her without any reason; it's so over the top, these brainless people.","तुम्हें पता है ऐसे गटिया फ़ैंज़ की बगावट से शिल्पा को बहुत लोग नफरत करते हैं, जब देखो बिना किसी बात के गाली देना और अनमान करना इतना ही है मूर्ख लोग"
669,To bhi dhiyan rakh kahin teri izat na lut jy tera rape na ho jay....haha,non-hate,"Be careful, or you might lose your dignity, or get raped... hahaha",तो ध्यान रख कहीं तेरी इज़्ज़त ना खो जाए और तुझे रेप ना हो जाए....हाहा
670,Khud Kisi ko hate krte ho to apne AAP ko ya apne perception badal paate ho,non-hate,"When you hate someone, you can change yourself or your perception.",अगर तुम किसी को हेट करते हो तो या तो अपने आप को या अपनी परिकल्पना बदल सकते हो
671,Itni nafrat to kya to Pakistan ke atankwadio mein dekhe ko milte h ya aap mein. Sirji jis thali mein khate ho usi mein ched karne ka plan h kya? Lag raha h iski gaddari par chhabuk chala h jo itna tilmila rahe h,hate,"Such hatred can be seen in Pakistani terrorists or in you. Sir, do you have plans to defile the plate from which you eat? It seems like you are trying to whip up treason with all your fidgeting.","इतनी नफरत तो क्या, पाकिस्तान के आतंकवादियों में देखने को मिलती है या आप में। सरजी, जिस थली में खाते हो उसी में चेड़ करने का प्लान है क्या? लग रहा है इसकी गद्दारी पर छबुक चला है जो इतना टिलमिला रहा है"
672,shweta mamitni izat denay walay rape nhe krty bharvay,non-hate,"shweta should be ashamed, she deserves to be raped","श्वेता मामतनी इज़्ज़त देने वालों को रेप नहीं करते, भारवाय"
673,"Padmavati pr film banaoge zinda jala denge, naak kat denge, aashram mai rape karo, acid attack kro, koi nahi,",hate,"If you make a movie about Padmavati, we will burn you alive, cut off your nose, rape you in the ashram, carry out acid attacks, no one will stop us.","पद्मावती पर फिल्म बनाओगे तो जिंदा जला देंगे, नाक काट देंगे, आश्रम में रेप करो, एसिड अटैक करो, कोई नहीं,"
674,1400 saal phle koi peg wala amber ek 9 saal ki ladki ka rape kia ab kisi ka khoon khol rha hain kya ?????,hate,"1400 years ago, some bearded guy in Amber raped a 9-year-old girl, now someone is getting all worked up about it?","1400 साल पहले कोई पेग वाला अम्बर ने एक 9 साल की लड़की का रेप किया, अब किसी का खून खोल रहा है क्या????"
675,Tu madras chaap jahil ki baat krega khud ki ammi khala behen ka rape karta hai halala karta allah chillane wala aatanki hota hain aur tu hain woh aatanki samjha bete,hate,"You filthy scumbag, talking nonsense, you’re the one who rapes your own aunt, sister, and cousin, you’re a terrorist who insults Allah, and you’re the one who supports terrorism, you piece of shit.",तू मद्रास छप जाहिल की बात करेगा खुद की अम्मी खला भहन का रेप करता है हलाला करता अल्लाह चिलाने वाला आतंकवादी होता है और तू है वो आतंकवादी समझा बेटे
676,Didi hate toh @Swamy39  bhi karte hain.. unpe kuch comment karoge,non-hate,"Sis, even @Swamy39 hates you.. are you going to comment on them?",दिदी हैट तो @Swamy39 भी करते हैं.. उनपे कुछ कमेंट करोगे
677,"In BeHENc**do ke ghar pe hi adhe rape hote hai, jo report nahi hote honge aur ye dusro ke ghar pe jhakte he.. chaman c***.",hate,"In b*tch’s house, half the rapes happen, which won’t even be reported, and she goes around messing with others’ houses. s*it.","बेहनचोद के घर ही आधा रेप होता है, जो रिपोर्ट नहीं होंगे और ये दूसरों के घर पर झकते ही.. चमन चुतिया।"
678,bina deepika kabhi 140c nahi dekhe chadarmod @iamsrk ne tiger ne hakle ke career ka rape kar diya 3.5 din me aur tu ATG ka moot pee raha? tere star ko bol ek clean hit deke dikhaye chakke @SRKsDaring,non-hate,"bina deepika has never seen 140c in her life @iamsrk got completely wrecked by tiger, who ruined his career in 3.5 days, and you're still drinking ATG's piss? tell your star to show one clean hit in his film @SRKsDaring",बिना दीपिका कभी 140C नहीं देखे चड़रमोद @iamsrk ने टाइगर ने हकले के कैरियर का रेप 3.5 दिन में कर दिया और तू ATG का मूत पी रहा? तेरे स्टार को बोल एक क्लीन हिट दिखाए चक्के @SRKsDaring
679,"Modi NE kon sa promise poora Kiya?ab Tak kitne sainik mare? Kitni ladki ka rape hua? Kitne log vaise he maar diye gaye, note banddi me 140 log maare gaye, in sab pe white paper tera chacha nikaalega?",hate,"Modi, which promise did you keep? How many soldiers have been killed so far? How many girls have been raped? How many people were killed like that, 140 people died during demonetization, will your uncle release a white paper on all these?","मोदी ने कौन सा प्रमिस पूरा किया? अब तक कितने सैनिक मारे? कितनी लड़कियों का रेप हुआ? कितने लोग ऐसे ही मारे गए, नोट बंदी में 140 लोग मारे गए, इन सब पर व्हाइट पेपर तेरा चाचा निकालेगा?"
680,Yasss.... Power of hina fans.. Proud to be one of them..  churan  patliya darr gaya.. Aukat nahi hai uski ki itne fans ho uske infct uske fans hi usko ab hate kar rahe hai unhone b zillat k laddu khilaye hai..  https://twitter.com/OfficialMeher/status/945326094139449344 …,non-hate,"Yesss.... Power of Hina's fans.. Proud to be one of them.. That little thing got scared.. She doesn't have the guts to have so many fans; in fact, her fans are now hating her and they've even given her a taste of humiliation..","येस्स... हिना फ़ैंस की शक्ति... उनमें से एक होने का गर्व... चुरन पतला डर गया.. उसकी औकात इतनी नहीं कि इतने फ़ैंस हों, वास्तव में उसके फ़ैंस ही अब उसे हैट कर रहे हैं और उन्होंने उसे जिल्लत का लड्डू खिलाया है.."
681,Ek hota he hate or ek hota he love.....love ki Nazar  to he Shilpa ji.,non-hate,"One can be hate and one can be love.... looking at you with love, Shilpa ji.",एक होता है हेट और एक होता है लव.....लव की नज़र में तो है शिल्पा जी।
682,"Bki hate ho,wo hate wala Nazar kiske lya he yea samajh ne k lya app kafi samajhdar he.",non-hate,"Be it hate, who is this hateful look for? You are quite sensible to understand this.","बाकी हैट हो, वो हैट वाली नज़र किसके लिए है यह समझने के लिए आप काफी समझदार हैं।"
683,Chup kar ...kya kuch nhi boli shilpa se uski baad v woh chup rahi thi aur tumhe khana di thi...hate u @ArshiKhan & never want to see u again,hate,"Shut up... why didn't you say anything to Shilpa? After that, she remained quiet and gave you food... I hate you @ArshiKhan & never want to see you again",चुप कर ...क्या कुछ नहीं बोली शिल्पा से उसके बाद भी वह चुप रही थी और तुझे खाना दी थी...मैं तेरा घृणा करती हूँ @ArshiKhan & कभी तुझसे मुखामुखि नहीं मिलना चाहूँगी
684,Ye terrorism toh band karoge lekin ye feminist ke aatank se kaise bachoge,non-hate,"You will stop this terrorism, but how will you protect yourself from the terror of feminism?",ये तरोरियम तो बंद करोगे लेकिन ये फ़ेमिनिस्ट के आतंक से कैसे बचोगे
685,Pyaar sai hate kertay hain na,hate,They say they hate out of love,प्यार से घृणा करते हैं ना
686,International media ne sahi survey kiya ha k bharat me hr 15 mint me ak auret ka rape hota ha so ap k baat or wording se yaqeen ho gea k kia respect deity or kis trah se female k sath ap log baat krty  ha 2019 choro abi ki baat kro kl kis ne dekha hm abi invite kre ha ajao,hate,"The international media has conducted a proper survey showing that in India, one woman is raped every 15 minutes. So from your words and behavior, it’s clear how you respect deities and treat women. Forget about 2019, let's talk about now. Who did we see inviting us today?","अंतर्राष्ट्रीय मीडिया ने सही सर्वेक्षण किया है कि भारत में प्रत्येक 15 मिनट में एक औरत का रेप होता है, तो आपकी बात और शब्दावली से यकीन हो गया कि आप देवी का सम्मान कैसे करते हैं और आप लोग महिलाओं के साथ कैसे बात करते हैं। 2019 को छोड़ दो, अब की बात करो, कल किसने देखा है, हम अब आमंत्रित कर रहे हैं, आओ"
687,Iska to rape bhi hona chahye tha Dehli mai,hate,He should have been raped in Delhi,इसको तो दिल्ली में रेप होना चाहिए था
688,yaar ye heena Ro Ko Bula rahi hai lekin awaz se Poori dunia Ke Kaan Band krwa rahi hai Kaisi Pagal hai yaar ye I hate Her Bhot jyada Gandi Gali aa rahi hai Is pagal Ko dekhkr,non-hate,"Dude, Heena is calling Ro but she's making the whole world cover their ears. What a lunatic, man. I hate her so much. Such filthy language coming from this crazy person.",यार ये हीना रो को बुला रही है लेकिन अवाज से पूरी दुनिया के कान बंद करवा रही है। कैसी पागल है यार ये! मैं उसे बहुत नफरत करता हूँ। इस पागल को देखकर बहुत गंदी गाली आ रही है।
689,Apko sirf glass shield itni takleef de rahi hy us terrorism ka kya jo #KalbhushanJadhav ne Pak me kiya un maaon aur biviun ka kya shame on u,non-hate,"The glass shield is only bothering you so much, what about the terrorism that #KalbhushanJadhav did in Pakistan? What about the shame brought upon those mothers and wives? Shame on him.",आपको सिर्फ़ ग्लास शील्ड इतनी तकलीफ़ दे रही है उस तर्रोरिज़्म का क्या जो #KalbhushanJadhav ने पाक में किया उन माओं और बीवियों का शाम उस पर
690,"Tu karwa suwar ki aulad hai, suwar ne rape kiya tha teri ammi ka ,apni soch gandu allahchodi",hate,"You son of a bitch, your mother was raped by a pig, think you f*cking a**hole","तू कर्वा सुवार की औलाद है, सुवार ने तेरी अम्मी को रेप किया था, अपनी सोच गंडू अल्लाहचोड़"
691,Kulbhushan Jadhav ji ki Family ko lautate waqt wait karna padha coz jo #car #driver service k liye appointed tha vo #Land of #terrorism k #Terrorists #camp mai gaya hoga.,non-hate,Kulbhushan Jadhav's family had to wait when they were returning because the driver who was appointed for car service probably went to a terrorist camp in the land of terrorism.,कुलभुषण जाधव जी की परिवार को लौटते समय इंतजार करना पड़ा क्योंकि जो #कार #चालक सेवा के लिए नियुक्त था वह #तERRORISM की #भूमि के #तERRORIST के #कैंप में गया होगा।
692,7 sheed huwe too 14 mar gairaye gee dost..but piche nhi hate ge Pakistan ka baap hai India aur ushko ek din jhukna hoga,non-hate,"7 sheeds were given but 14 were killed, my friend..but in the end, the father of Pakistan is India and one day it will have to bow down",7 शीद हुए तू 14 मर गये गी दोस्त..पर पीछे नहीं हटेगा पाकिस्तान का बाप है भारत और उसे एक दिन जुकना होगा
693,Aur dosri baat Kulbushan Jadhev Ajmal Qassab 2 hai Ajmal Qassab tak india ne access di ? oska tu yebi nahi pata tha pakistani hai ya indian Hindu hai ya Muslim Kulbashan Terrorist ne tu khod bol diya me terrorism k liye kaam karta tha. .,non-hate,"And another thing, Kulbhushan Jadhav is like Ajmal Kasab 2. Did India even know whether he was Pakistani or Indian, Hindu or Muslim? The terrorist Kulbhushan himself admitted that he worked for terrorism.",और दूसरी बात कुलबुशन जदहव अजमल कसाब 2 है अजमल कसाब तक इंडिया ने एक्सेस दी? उसका तू ये नहीं पता था पाकिस्तानी है या भारतीय हिंदू है या मुस्लिम। कुलबुशन टेररिस्ट ने तो खुद बोल दिया मैं टेररिस्म के लिए काम करता था।
694,"Arshi out hoke shirf nagative hi bole rahi hai,now i hate her",hate,"Arshi is just being negative all the time, now I hate her","अर्शी बाहर निकलकर केवल नकारात्मक ही बोलती रही है, अब मैं उसे घृणा करता हूँ"
695,Aisi aurtain hoti hain jo jaan boojh k rape waalay ilaqe main jaati hain! Pakistan milgaya toh rape kaise hoga aapka ! https://twitter.com/ms_thakurayin/status/944989199651835904 …,non-hate,"Such sluts go where they know they will get raped! If you end up in Pakistan, how will you avoid being raped!",ऐसी औरतें होती हैं जो जान-बूझकर रेप के इलाके में जाती हैं! पाकिस्तान मिल गया तो आपका रेप कैसे होगा!
696,Gayo jogi to gayo waise bhi yeh bahana ban jayega par who likes modi or jogi 80% say dey hate them,non-hate,"Whether it's a yogi or someone else, this will become an excuse but those who like Modi or Yogi, 80% should be hated.",जोगी चला गया तो फिर भी ये बहाना बन जाएगा पर जो मोदी या जोगी को पसंद करते हैं उन्हें 80% से घृणा करते हैं
697,Mi tu kisiko hate nhi karti . .. kya bigaada hi apna,non-hate,I don't even hate you a little bit... what's the point then?,मैं तो किसीको नहीं घृणा करती... क्या अपना ही बिगाड़ा
698,Haha so so so true aise hi nhi i say ppl aadhe hina karan show dekhte hai chahe hate hi krte ho..adhe hina karan shows mei jare hai jinko kutta bhi nhi puchta aur mu fer ke chla jata hai..hina is fab,non-hate,"Haha so so so true. I totally agree. People watch half-naked shows even if they hate them. In those half-naked shows, there are people who no one talks to and turn away from. Hina is fabulous.","हाहा बिल्कुल सच है, मैंने ऐसा कभी नहीं कहा। लोग आधे हीना करण शो देखते हैं, चाहे घृणा करें ही। आधे हीना करण शो में जो लोग होते हैं, उन्हें कुत्ता भी पूछने से इनकार कर देता है और मुखर चला जाता है। हीना फ़ैब है।"
699,"Hindutva ko to inka baap bhi nahi rok sakta, aur terrorism ko to ye useful idiots khud badhava dete hain.",non-hate,"Not even the father of Hindutva can control it, and these useful idiots themselves promote terrorism.","हिंदुत्व को तो इनका बाप भी नहीं रोक सकता, और आतंकवाद को तो ये उपयोगी मूर्ख खुद ही बढ़ावा देते हैं।"
701,She is just Sabji me Dhaniya... I just hate Dhaniya..N I Boycott that Sabji too..,hate,She is just like coriander in vegetables... I just hate coriander... And I boycott that vegetable too...,वह सिर्फ सब्जी में धनिया है... मुझे बस धनिया नहीं लगता... और मैं उस सब्जी को भी बहिष्कार करता हूँ...
702,Haa tumhe toh bakriyo ka aur murgiyo ka rape sikhaya jata hai isiliye tumhare yahan sirf bakriyo ke hi hospital hai baaki sab toh bimar Paki India se bhik mangte hai visa ke liye taaki apna ilaaz yaha aakar kara sake.  Ye le tere liye gifts aur inka rape karle.,hate,"Yes, you are taught to rape goats and chickens, which is why there are only hospitals for goats where you come from. The rest have to beg Pakistan for visas so they can come here for treatment. Here, take these gifts and rape them.",हाँ तुम्हें तो बकरियों का और मुर्गियों का रेप सिखाया जाता है इसलिए तुम्हारे यहाँ सिर्फ बकरियों के ही हॉस्पिटल है बाकी सब तो बीमार पाकी भारत से विज़ा के लिए भिख मंगते हैं ताकि अपना इलाज यहाँ आकर कर सकें। ये ले तेरे लिए गिफट्स और इनका रेप कर ले।
